Date Published,News Outlet,Title
2023-11-15T19:40:43Z,USA Today,Jamahal Hill vows to knock out UFC champ Alex Pereira when they fight: 'I'm going to sleep your boy'
2023-11-17T15:50:39Z,USA Today,"Dricus Du Plessis: Israel Adesanya deserves break, but 'if he comes back in 2027, he's going to get hurt'"
2023-11-17T02:20:59Z,USA Today,Video: Discussing UFC's 2024 tantalizing trio of title tilts
2023-11-16T23:50:38Z,USA Today,Dricus Du Plessis says 'no way' Sean Strickland fight goes five rounds at UFC 297
2023-11-16T22:10:13Z,USA Today,UFC champ Sean Strickland sees Dricus Du Plessis as tougher fight than Khamzat Chimaev
2023-11-17T15:50:39Z,USA Today,"Dricus Du Plessis: Israel Adesanya deserves break, but 'if he comes back in 2027, he's going to get hurt'"
2023-11-17T02:20:59Z,USA Today,Video: Discussing UFC's 2024 tantalizing trio of title tilts
2023-11-19T15:56:25Z,USA Today,Israel-Hamas war live updates: 31 babies rescued from Gaza hospital
2023-11-19T15:56:25Z,USA Today,Israel-Hamas war live updates: 31 babies rescued from Gaza hospital
2023-11-21T18:45:32Z,USA Today,"How to watch Euro 2024 Qualifiers: Andorra vs. Israel, time, TV channel, live stream"
2023-11-21T15:30:49Z,USA Today,UFC's Diego Lopes makes case for Francisco Grasso as 2023 Coach of the Year
2023-11-21T18:45:32Z,USA Today,"How to watch Euro 2024 Qualifiers: Andorra vs. Israel, time, TV channel, live stream"
2023-11-21T15:30:49Z,USA Today,UFC's Diego Lopes makes case for Francisco Grasso as 2023 Coach of the Year
2023-11-23T20:30:49Z,USA Today,"Joe Pyfer gets first UFC main event, meets Jack Hermansson in February"
2023-11-23T20:30:49Z,USA Today,"Joe Pyfer gets first UFC main event, meets Jack Hermansson in February"
2023-11-24T16:20:55Z,USA Today,UFC champ Alex Pereira says Khamzat Chimaev simply 'trying to run behind the hype' with callout
2023-11-24T16:20:55Z,USA Today,UFC champ Alex Pereira says Khamzat Chimaev simply 'trying to run behind the hype' with callout
2023-11-26T22:35:28Z,USA Today,Vermont shooting: Authorities investigating possible hate crime
2023-11-26T22:35:28Z,USA Today,Vermont shooting: Authorities investigating possible hate crime
2023-11-29T22:00:05Z,USA Today,Francis says he's 'not well'...
2023-11-29T13:50:59Z,USA Today,Alistair Overeem doesn't expect Alex Pereira to last as UFC light heavyweight champ for very long
2023-10-30T04:00:33Z,CNN,Crisis in Gaza as Israel warns of long war with Hamas
2023-10-31T04:04:49Z,CNN,Crisis in Gaza as Israel warns of long war with Hamas
2023-10-31T13:00:02Z,CNN,New wave of antisemitism...
2023-10-30T13:19:32Z,CNN,"Europe’s biggest economy shrank in the third quarter, spelling trouble for the region"
2023-10-31T20:16:01Z,Fox News,Miss Israel condemns Hamas regime in viral Instagram video: 'Hamas is ISIS'
2023-10-30T08:30:05Z,Fox News,"The most extreme anti-Israel, Hamas-sympathizing moments on college campuses since the Oct. 7 attacks"
2023-10-30T11:48:02Z,Fox News,'Squad' member Cori Bush accuses Israel of 'ethnic cleansing' in war against Hamas
2023-10-31T08:53:28Z,Fox News,UN agency calls for ceasefire in Israel-Hamas war: 'Matter of life and death for millions'
2023-10-30T12:00:15Z,Fox News,Israel's war against Hamas is a battle for civilization
2023-10-31T12:57:34Z,Fox News,Hillary Clinton says those demanding ceasefire 'don't know Hamas'
2023-10-31T18:42:47Z,Fox News,Dean Phillips says vote by 'Squad' members against resolution condemning Hamas attack on Israel is 'appalling'
2023-10-31T14:55:13Z,Fox News,Son of Hamas leader pleads with US to 'pressure' Egyptians to open border to Gazan civilians
2023-10-31T10:52:29Z,Fox News,"Israel eliminates top Hamas commander who helped direct October 7 massacre, IDF says"
2023-10-31T08:00:17Z,Fox News,House Dem who voted against resolution condemning Hamas has long history of anti-Israel activism
2023-10-30T20:00:42Z,Fox News,"Reaction to Hamas attack leaves some Jewish writers in Hollywood feeling 'shocked, afraid'"
2023-10-31T10:58:45Z,Fox News,"Israel hits 300 Hamas targets in Gaza, engages in battles against terrorists firing anti-tank missiles, guns"
2023-10-30T16:00:03Z,Fox News,California professors blast university system for ‘unsafe’ comments about Hamas
2023-10-30T08:00:58Z,Fox News,Biden admin to meet with Saudi defense minister this week in bid to ease tensions: report
2023-10-31T00:00:16Z,Fox News,Biden reportedly raged over New York Times' coverage of Gaza hospital explosion
2023-10-30T19:04:57Z,Fox News,"Israel's Netanyahu rejects cease-fire, says it's 'time for war' against Hamas"
2023-10-31T11:46:15Z,Fox News,Columbia faculty member calls out open letter that defends anti-Israel views on campus: ‘Letter is a disgrace'
2023-10-30T18:28:49Z,Fox News,"US, Germany, Austria urged to give citizenship to hostages held by Hamas to save their lives"
2023-10-30T09:00:39Z,Fox News,We have one word for terror supporters who abuse our broken visa system
2023-10-31T20:00:14Z,Fox News,"Muslim immigrant running to unseat Ilhan Omar, speaks out from Israel: 'We are not like her'"
2023-10-30T19:20:39Z,Fox News,"Israeli officials identify Shani Louk's body, beheaded by 'sadistic animals'"
2023-10-30T18:13:56Z,Fox News,Turkey's Erdogan laments loss of Ottoman Empire at pro-Palestinian rally
2023-10-31T16:50:48Z,Fox News,"Israeli soldiers reported killed, first in Gaza since ground incursion began"
2023-10-31T18:23:01Z,Fox News,Israel omitted from online maps in China amid war on Hamas in Gaza
2023-10-30T14:29:16Z,Fox News,IL man indicted in murder of Palestinian American child to appear in court
2023-10-31T11:23:32Z,Fox News,"Massachusetts couple, 1-year-old son stranded in Gaza with little food, water, fuel, connectivity: attorney"
2023-10-31T13:36:34Z,Fox News,Florida Republican urges defunding UN Human Rights Council until it condemns Hamas
2023-10-31T11:25:16Z,Fox News,"Canada backpedals after US, dozen other nations reject UN 'humanitarian truce' in Israel-Hamas war"
2023-10-30T13:25:17Z,Fox News,At the army base where Israel identifies its dead: 'They went from house to house burning family after family'
2023-10-31T19:17:19Z,Fox News,"Outgoing senior UN official calls for one-state solution, slams US and Israel: 'Chilling words'"
2023-10-31T08:00:38Z,Fox News,Iran proxies step up attacks against American forces overseas in light of US support for Israel
2023-10-30T13:00:06Z,Fox News,More Israeli troops pour into Gaza with IDF on 'high alert' on northern border
2023-10-31T17:26:17Z,Fox News,"Blinken, on Gaza aid, says US has to anticipate possible 'spillage' over to Hamas"
2023-10-30T21:22:00Z,Fox News,Cyprus braces for migrant influx amid Israel-Hamas conflict
2023-10-31T00:45:46Z,Fox News,Israel ambassador blasts UN 'silence' over Hamas atrocities; to wear Yellow star until terrorists condemned
2023-10-30T19:14:01Z,Fox News,"Cruz rolls out measure to sanction Hamas, freeze Iranian assets"
2023-10-31T15:17:19Z,Fox News,Hecklers scream at Blinken for Israel-Hamas 'ceasefire' during Senate hearing: 'Where is your pride America?'
2023-10-30T06:37:40Z,Fox News,US 'vigorously condemns' pro-Palestinian rioters who stormed Russian airport searching for Israeli flight
2023-10-30T20:55:43Z,Fox News,House GOP's $14B Israel aid bill offset with cuts to IRS cash in Biden's Inflation Reduction Act
2023-10-31T19:56:10Z,Fox News,"Youngkin order calls for crackdown on anti-Semitism, other religious hate crimes in Virginia"
2023-10-31T13:59:18Z,Fox News,Yale newspaper censors piece by pro-Israel writer: 'Unsubstantiated claims that Hamas raped women'
2023-10-31T13:02:20Z,Fox News,Israeli soldier rescued in Gaza after being captured by Hamas is now providing intel for ‘future operations’
2023-10-31T02:14:17Z,Fox News,"SEAN HANNITY: The world is imploding, US more divided than ever under Biden"
2023-10-31T14:08:31Z,Fox News,"Kamala Harris, UK's Rishi Sunak reportedly to discuss Israel, Ukraine during VP's trip to London AI summit"
2023-10-31T12:53:47Z,Fox News,Man in John Fetterman Halloween costume tosses activist confronting senator
2023-10-30T10:00:09Z,Fox News,"Democratic lawmakers trade barbs over Israel-Hamas resolution: 'Coward,' 'punk' & 'despicable'"
2023-10-31T19:36:52Z,Fox News,White House blasts House GOP for setting 'unprecedented bar' in new bill to aid Israel
2023-10-30T20:30:39Z,Fox News,Marjorie Taylor Greene puts heat on Republicans to vote for Rashida Tlaib censure
2023-10-31T21:59:44Z,Fox News,San Diego GOP officials call for closure of southern border amid terror concerns: 'Shut it down'
2023-10-30T08:00:59Z,Fox News,"Cancel culture efforts over extreme anti-Israel statements not worth it, WaPo writer argues"
2023-10-30T16:49:55Z,Fox News,Emotional Martha MacCallum recalls ‘horrific’ footage of Hamas terror: 'This will haunt anyone'
2023-10-31T22:11:24Z,Fox News,Yale student who had pro-Israel column edited without her knowledge speaks out: 'Modern-day Holocaust denial'
2023-10-30T12:13:40Z,CNN,Will Palestinian refugees come to the US? | CNN
2023-10-31T08:00:21Z,Fox News,Professor calls on Cornell to make campus safer for Jewish students: 'Faculty is extremely anti-Israel'
2023-10-31T05:29:30Z,CNN,Gaza population being ‘dehumanized’ UN agency warns as Netanyahu rejects ceasefire calls | CNN
2023-10-30T12:42:34Z,Fox News,Democrat accused by ADL CEO of threatening Jewish member of Congress: 'Egregious'
2023-10-30T13:56:16Z,CNN,Biden pressed Netanyahu to get more humanitarian aid into Gaza as fears grow over conflict escalating | CNN Politics
2023-10-31T09:45:27Z,Fox News,"US troops in Iraq targeted by drones, marking 25th attack in past 2 weeks: report"
2023-10-30T02:55:51Z,CNN,Dagestan: Crowd storms Russian airport as flight from Tel Aviv lands and global tensions spiral over Gaza war
2023-10-30T17:52:55Z,Fox News,Harvard president announces advisory council to combat antisemitism on campus: 'No longer'
2023-10-31T06:00:49Z,Fox News,Pro-Hamas protests expose the massive failure at the heart of American higher education
2023-10-31T15:36:31Z,Fox News,"Reporter condemns antisemitism on college campuses, demands school administrators speak out"
2023-10-31T17:39:22Z,Fox News,FBI Director Wray warns terror threat to Americans at 'whole other level' after Hamas-Israel attacks
2023-10-31T19:33:26Z,Fox News,Fox News Politics: The next ambassador to Israel
2023-10-31T03:26:25Z,Fox News,GREG GUTFELD: The left's built-in excuse for their failed ideas is white supremacy
2023-10-31T10:27:59Z,Fox News,"Israel eliminates Hamas commander, activists try to sideline Trump and more top headlines"
2023-10-30T15:14:54Z,Fox News,"Senator urges Biden, DHS to disclose info on terrorist encounters at southern border amid Israel-Hamas war"
2023-10-30T16:16:53Z,Fox News,Texas doctor stabbed to death in broad daylight at picnic table outside her home
2023-10-30T08:00:59Z,Fox News,"MMA-trained rabbi teaches guns, self-defense to Jewish community as Israel war rages"
2023-10-30T16:30:20Z,Fox News,"Rep. Jayapal warns President Biden, says he needs to be 'careful' about support for Israel"
2023-10-31T18:00:35Z,Fox News,"Iran's exiled crown prince calls out Biden's weak policies, says Islamic regime 'emboldened'"
2023-10-30T20:00:33Z,Fox News,"Jewish journalist in NYC gets bodyguard after receiving rape, death threats from Palestinian sympathizers"
2023-10-31T22:51:31Z,CNN,Palestinian American family mourns 42 relatives killed in a single day in Gaza | CNN
2023-10-30T13:20:37Z,CNN,Oil prices are falling even as Israel steps up its war on Hamas. A spike could still happen
2023-10-30T19:59:45Z,Fox News,McConnell urges more aid for Ukraine despite skepticism among American voters: 'Test for the United States'
2023-10-30T19:04:25Z,CNN,American Arabs and Jews: How has the Israel-Hamas war changed you? | CNN
2023-10-30T09:00:26Z,Fox News,"Biden's pick for ambassador to Israel is so awful, it's hard to believe what he's done"
2023-10-30T23:49:42Z,CNN,Efforts to get hostages out of Gaza complicated by Israel’s expanding ground operation | CNN Politics
2023-10-30T13:59:18Z,CNN,"This Palestinian girl went from wearing a sparkly tiara to bandages. Even in her hospital bed, she may not be safe"
2023-10-31T17:28:03Z,Fox News,New York police have 'person of interest' in Cornell antisemitic threats in custody
2023-10-30T19:44:00Z,Fox News,St. Louis County prosecutor launches primary challenge against Rep. Cori Bush
2023-10-31T21:47:18Z,Fox News,White House indicates people making 'violent antisemitic threats' not classified as 'domestic terrorists'
2023-10-30T13:00:25Z,Fox News,GOP senators demand enhanced border security plan from Biden over threats by 'global terrorist groups'
2023-10-30T21:02:46Z,Fox News,White House compares 'chilling' Russian airport storming to anti-Jewish pogroms of 19th and 20th centuries
2023-10-30T17:32:45Z,Fox News,New York Dem lawmaker speaks out against 'deepening rot of antisemitism' in colleges after Cornell threats
2023-10-31T18:00:00Z,Fox News,Catholic university becomes safe haven for Jewish students escaping antisemitism
2023-10-31T16:46:58Z,Fox News,Speaker Johnson suggests diverting IRS funding for Israel aid: 'Immediate and urgent need'
2023-10-31T17:27:55Z,CNN,"Jabalya blast: Israeli strike on Gaza refugee camp causes casualties, officials say"
2023-10-30T22:09:11Z,Fox News,WATCH: Jean-Pierre refuses to call anti-Israel protestors 'extremists' despite fear among Jewish students
2023-10-31T17:26:00Z,Fox News,House Republicans demand transparency from Biden admin on how US funds are being spent in Ukraine
2023-10-30T11:30:03Z,CNN,Biden administration highlights efforts to address antisemitism on college campuses | CNN Politics
2023-10-31T02:05:00Z,Fox News,LAURA INGRAHAM: Biden's chances for re-election are nosediving
2023-10-31T19:21:38Z,Fox News,"Fox News Channel crushes CNN, MSNBC during news-heavy October as ‘The Five’ remains most-watched show"
2023-10-31T08:30:21Z,Fox News,UC-Davis investigation into faculty member's alleged post violently threatening 'Zionist journalists' not over
2023-10-31T10:26:27Z,CNN,"5 things to know for Oct. 31: Israel, Chilly weather, Strikes, Border wall, Artificial Intelligence | CNN"
2023-10-30T17:08:30Z,Fox News,"Biden admin partnering with colleges to combat 'alarming rise' of antisemitic threats, incidents on campuses"
2023-11-01T04:00:31Z,CNN,Crisis in Gaza as Israel warns of long war with Hamas
2023-10-31T04:04:49Z,CNN,Crisis in Gaza as Israel warns of long war with Hamas
2023-10-31T13:00:02Z,CNN,New wave of antisemitism...
2023-10-31T20:16:01Z,Fox News,Miss Israel condemns Hamas regime in viral Instagram video: 'Hamas is ISIS'
2023-11-01T06:32:51Z,Fox News,Israeli military says nine more soldiers were killed inside Gaza as ground operation against Hamas continues
2023-10-31T08:53:28Z,Fox News,UN agency calls for ceasefire in Israel-Hamas war: 'Matter of life and death for millions'
2023-11-01T18:00:52Z,Fox News,Hakeem Jeffries rejects Squad member's 'ethnic cleansing' claim: 'Israel is not engaged in genocide'
2023-11-01T20:25:39Z,Fox News,"Hamas terrorist tells Israel authorities mission Oct. 7 was simply to kill, details shooting children"
2023-10-31T12:57:34Z,Fox News,Hillary Clinton says those demanding ceasefire 'don't know Hamas'
2023-10-31T18:42:47Z,Fox News,Dean Phillips says vote by 'Squad' members against resolution condemning Hamas attack on Israel is 'appalling'
2023-10-31T14:55:13Z,Fox News,Son of Hamas leader pleads with US to 'pressure' Egyptians to open border to Gazan civilians
2023-10-31T10:52:29Z,Fox News,"Israel eliminates top Hamas commander who helped direct October 7 massacre, IDF says"
2023-11-01T20:27:41Z,Fox News,"Israel-Hamas war: 5 American aid workers leave Gaza for Egypt through Rafah crossing, hundreds remain"
2023-11-01T08:00:04Z,Fox News,Israeli mom recounts last call from terrified daughter as 'Bring Them Home Now' vows to find Hamas hostages
2023-10-31T08:00:17Z,Fox News,House Dem who voted against resolution condemning Hamas has long history of anti-Israel activism
2023-11-01T11:59:15Z,Fox News,Hawley grills Mayorkas over DHS employee who celebrated Hamas terror attack
2023-10-31T10:58:45Z,Fox News,"Israel hits 300 Hamas targets in Gaza, engages in battles against terrorists firing anti-tank missiles, guns"
2023-11-01T20:56:54Z,Fox News,Four plaques dedicated to Roman Jewish Holocaust victims found vandalized
2023-11-01T12:21:54Z,Fox News,Iran's leader says countries should 'block the flow of oil and food' to Israel
2023-11-01T07:00:12Z,Fox News,"Students detail 'horrible' reality at top US colleges with surge in antisemitism, say they don't feel safe"
2023-11-01T18:18:47Z,Fox News,Biden says American citizens will leave Gaza through Rafah border crossing
2023-11-01T11:22:26Z,Fox News,"Israel says more than 11,000 terrorist targets hit in Gaza as IDF downs missile fired from Lebanon at drone"
2023-11-01T17:46:13Z,Fox News,Gaza's only cancer hospital is no longer operational after running out of fuel: report
2023-10-31T00:00:16Z,Fox News,Biden reportedly raged over New York Times' coverage of Gaza hospital explosion
2023-10-31T11:46:15Z,Fox News,Columbia faculty member calls out open letter that defends anti-Israel views on campus: ‘Letter is a disgrace'
2023-11-01T17:15:54Z,Fox News,Sen. Rubio introduces bill to ban federal tax dollars to pro-terrorist activities on college campuses
2023-10-31T20:00:14Z,Fox News,"Muslim immigrant running to unseat Ilhan Omar, speaks out from Israel: 'We are not like her'"
2023-11-01T23:30:04Z,Fox News,NY Times questions whether Iran will 'live up to its fiery rhetoric' and 'destroy Israel'
2023-11-01T20:30:13Z,Fox News,San Francisco police investigating shop vandalized with pro-Palestinian graffiti as hate crime: Jewish owner
2023-11-01T11:21:22Z,Fox News,NY governor announces review of antisemitism policies at public state colleges
2023-11-01T21:00:58Z,Fox News,Amy Schumer says she has lost friends for her outspoken support of Israel: 'I stand for the truth'
2023-11-01T14:19:06Z,Fox News,Florida doctor treating IDF soldiers after war broke out during family vacation: 'Chaotic period of time'
2023-10-31T16:50:48Z,Fox News,"Israeli soldiers reported killed, first in Gaza since ground incursion began"
2023-10-31T18:23:01Z,Fox News,Israel omitted from online maps in China amid war on Hamas in Gaza
2023-11-01T21:50:44Z,Fox News,Israeli university presidents call on colleagues to not fall victim to Hamas' 'destructive propaganda'
2023-11-01T08:18:18Z,Fox News,Massachusetts family stranded in Gaza speaks out about situation on the ground: 'Our frustration continues'
2023-10-31T11:23:32Z,Fox News,"Massachusetts couple, 1-year-old son stranded in Gaza with little food, water, fuel, connectivity: attorney"
2023-10-31T13:36:34Z,Fox News,Florida Republican urges defunding UN Human Rights Council until it condemns Hamas
2023-11-01T13:49:44Z,Fox News,Yale newspaper issues retraction after backlash over controversial editor's note on pro-Israel columns
2023-11-01T10:49:18Z,Fox News,"Qatar brokers deal between Egypt, Hamas and Israel for limited Gaza evacuations"
2023-10-31T11:25:16Z,Fox News,"Canada backpedals after US, dozen other nations reject UN 'humanitarian truce' in Israel-Hamas war"
2023-10-31T19:17:19Z,Fox News,"Outgoing senior UN official calls for one-state solution, slams US and Israel: 'Chilling words'"
2023-10-31T08:00:38Z,Fox News,Iran proxies step up attacks against American forces overseas in light of US support for Israel
2023-10-31T17:26:17Z,Fox News,"Blinken, on Gaza aid, says US has to anticipate possible 'spillage' over to Hamas"
2023-11-01T10:00:13Z,Fox News,DeSantis warns Biden's deployment of US troops amid Israel conflict could make them 'sitting ducks'
2023-10-31T00:45:46Z,Fox News,Israel ambassador blasts UN 'silence' over Hamas atrocities; to wear Yellow star until terrorists condemned
2023-10-31T15:17:19Z,Fox News,Hecklers scream at Blinken for Israel-Hamas 'ceasefire' during Senate hearing: 'Where is your pride America?'
2023-11-01T20:00:04Z,Fox News,Josh Hawley calls out Mayorkas for having 'no answers' on DHS employee praising Hamas: 'Totally inexcusable'
2023-10-31T19:56:10Z,Fox News,"Youngkin order calls for crackdown on anti-Semitism, other religious hate crimes in Virginia"
2023-10-31T13:59:18Z,Fox News,Yale newspaper censors piece by pro-Israel writer: 'Unsubstantiated claims that Hamas raped women'
2023-10-31T13:02:20Z,Fox News,Israeli soldier rescued in Gaza after being captured by Hamas is now providing intel for ‘future operations’
2023-11-01T11:30:57Z,Fox News,Haley calls for pro-Hamas protesters in US to be ID'd to warn future employers
2023-11-01T09:40:32Z,Fox News,Massie clashes with pro-Israel group over opposition $14B aid package: 'Extracted through inflation and taxes'
2023-11-01T07:00:52Z,Fox News,The scourge of antisemitism is now global and inescapable
2023-10-31T02:14:17Z,Fox News,"SEAN HANNITY: The world is imploding, US more divided than ever under Biden"
2023-10-31T14:08:31Z,Fox News,"Kamala Harris, UK's Rishi Sunak reportedly to discuss Israel, Ukraine during VP's trip to London AI summit"
2023-11-01T14:22:01Z,Fox News,AOC accuses pro-Israel PAC of being 'extremist organization that destabilizes US democracy'
2023-10-31T12:53:47Z,Fox News,Man in John Fetterman Halloween costume tosses activist confronting senator
2023-10-31T19:36:52Z,Fox News,White House blasts House GOP for setting 'unprecedented bar' in new bill to aid Israel
2023-11-01T12:00:58Z,Fox News,Is the Biden administration preparing for the wrong kind of war with Iran?
2023-10-31T21:59:44Z,Fox News,San Diego GOP officials call for closure of southern border amid terror concerns: 'Shut it down'
2023-11-01T16:29:34Z,Fox News,Democrats could be split for a 'generation' as left tears 'itself apart over Israel'
2023-11-01T09:47:48Z,Fox News,Timeline: US forces in Iraq and Syria were attacked at least 27 times between Oct 17-31
2023-10-31T22:11:24Z,Fox News,Yale student who had pro-Israel column edited without her knowledge speaks out: 'Modern-day Holocaust denial'
2023-11-01T07:00:42Z,Fox News,Cornell students react to suspected 'Hamas fighter' arrest by DOJ: 'Terrifying to be on campus right now'
2023-10-31T08:00:21Z,Fox News,Professor calls on Cornell to make campus safer for Jewish students: 'Faculty is extremely anti-Israel'
2023-11-01T08:00:12Z,Fox News,Left-wing dark money network bankrolling anti-Israel groups drops millions pushing Ohio abortion amendment
2023-10-31T05:29:30Z,CNN,Gaza population being ‘dehumanized’ UN agency warns as Netanyahu rejects ceasefire calls | CNN
2023-11-01T17:29:01Z,Fox News,Biden White House brainstorming anti-Islamophobia program amid warnings against support for Israel
2023-10-31T09:45:27Z,Fox News,"US troops in Iraq targeted by drones, marking 25th attack in past 2 weeks: report"
2023-10-31T06:00:49Z,Fox News,Pro-Hamas protests expose the massive failure at the heart of American higher education
2023-10-31T15:36:31Z,Fox News,"Reporter condemns antisemitism on college campuses, demands school administrators speak out"
2023-10-31T17:39:22Z,Fox News,FBI Director Wray warns terror threat to Americans at 'whole other level' after Hamas-Israel attacks
